FilmId,Title,Rating,Year,Duration,Countries,Genres,ShortDescription,Director,Actors
435,Зеленая миля,9.1,1999,189,США,"драма, криминал",В тюрьме для смертников появляется заключенный с божественным даром. Мистическая драма по роману Стивена Кинга,Фрэнк Дарабонт,"Том Хэнкс, Дэвид Морс, Бонни Хант, Майкл Кларк Дункан, Джеймс Кромуэлл, Майкл Джитер, Грэм Грин, Даг Хатчисон, Сэм Рокуэлл, Барри Пеппер, Джеффри ДеМанн, Патриша Кларксон, Гарри Дин Стэнтон, Даббс Грир, Ив Брент, Уильям Сэдлер, Мак Майлз, Рай Таско, Эдри Уорнер, Паула Малкомсон, Кристофер Джоэль Айвз, Эванн Драклер, Бэйли Драклер, Брайан Либби, Брент Бриско, Билл МакКинни, Гэри Синиз, Рэйчел Сингер, Скотти Левенуорф, Кэтлин Левенуорф, Билл Грэттон, Ди Крокстон, Ребекка Клингер, Гари Имхофф, Ван Эпперсон, Дэвид Э. Браунинг, Фред Астер, Томми Барнс, Билл Крэддок, Кристофер Гринвуд, Уэс Холл, Дэниэл Д. Харрис, Фил Хоун, Джуди Херрера, Тед Холлис, Дон Лэнгли, Роберт Мэлоун, Арнольд Монти, Джинджер Роджерс, Гарт Шоу, Тим Смит, Той Спирс, Джаред Стовэлл, Дора Тейт, Сэмюэл Тейт, Тодд Томпсон, Джеймс Маршалл Волчок"
329,Список Шиндлера,8.8,1993,195,США,"драма, биография, военный, история","История немецкого промышленника, спасшего тысячи жизней во время Холокоста. Драма Стивена Спилберга",Стивен Спилберг,"Лиам Нисон, Бен Кингсли, Рэйф Файнс, Кэролайн Гудолл, Эмбет Дэвидц, Йонатан Сэгаль, Малгоша Гебель, Шмуэль Леви, Марк Иванир, Беатриче Макола, Анджей Северин, Фридрих фон Тун, Кшиштоф Люфт, Хэрри Неринг, Норберт Вайссер, Ади Ницан, Михаэль Шнайдер, Мири Фабиан, Анна Муха, Альберт Мисак, Михаэль Гордон, Альдона Грохал, Яцек Вуйцицки, Беата Палух, Петр Полк, Эзра Дегэн, Беата Дескур, Рэми Хьюбергер, Леопольд Козловски, Ежи Новак, Ури Аврахами, Адам Семён, Магдалена Дандуриан, Павел Делонг, Шабтай Конорти, Оливия Дабровска, Хенрик Биста, Тадеуш Брадецкий, Войцех Клата, Элина Ловенсон, Ева Колясиньска, Беттина Купфер, Гжегож Квас, Вили Матула, Станислав Кочанович, Ханс-Йорг Ассманн, Гено Лехнер, Август Шмёльцер, Людгер Пистор, Беата Рыботицка, Бранко Лустиг, Артус Мария Маттиссен, Ганс-Михаэль Реберг, Эугениуш Привезенцев, Михаэль Ц. Хоффман, Эрвин Ледер, Йохен Никель, Анджей Вельминский, Даниэль Дель Понте, Мариан Глинка, Гжегож Даменцки, Станислав Брейдыгант, Оляф Любашенко, Хаймон Мария Буттингер, Петер Аппиано, Яцек Пуланеки, Томаш Дедек, Славомир Холланд, Мартин Земмельрогге, Тадеуш Хук, Александер Хельд, Пётр Цирвус, Йоахим Пауль Ассбёк, Осман Рагхеб, Мацей Орлось, Марек Врона, Збигнев Козловски, Марчин Гржимович, Дитер Уиттинг, Магдалена Коморницка, Агнешка Круковна, Анемона Кнут, Джереми Флинн, Агнешка Вагнер, Ян Юревич, Веслав Комаса, Мачей Козловский, Мартин Бергманн, Вильгельм Манске, Петер Флехтнер, Сигурд Бемме, Этель Шиц, Люцина Забава, Рут Фархи, Ежи Саган, Дариуш Шиманиак, Дирк Бендер, Мацей Уинклер, Радослав Кжижовски, Яцек Ленчовски, Ханна Коссовска, Майя Осташевска, Себастьян Скалски, Рышард Радвански, Петр Кадличик, Лех Нибильский, Томас Моррис, Себастьян Конрад, Лидия Выробиец-Банк, Равит Ферера, Агнешка Коженёвска, Доминика Беднарчик, Алисиа Кубашевская, Дэнни Марсу, Ганс Роснер, Эдвард Линде-Любашенко, Александр Штробеле, Жорж Керн, Александр Бучолич, Михаэль Шиллер, Гёц Отто, Вольфганг Зайденберг, Губерт Крамар, Разия Израэли, Дорит Сиадия, Эсти Ерушалми, Марта Бизонь, Эрик Бруно Боргман, Мишель Кситос, , Янек Дреснер, Памела Фишер, Ришард Хоровиц, Мацей Ковалевски, Камиль Кравьек, Сюзанна Липиек, Бонни Лоэв, Мария Пешек, Леопольд Пфефферберг, , Леопольд Роснер, Эмили Шиндлер, Катажина Смехович, Бен Талар, Катажина Тлалька, Харрисон Уайт"
326,Побег из Шоушенка,9.1,1994,142,США,драма,Несправедливо осужденный банкир готовит побег из тюрьмы. Тим Роббинс в выдающейся экранизации Стивена Кинга,Фрэнк Дарабонт,"Тим Роббинс, Морган Фриман, Боб Гантон, Уильям Сэдлер, Клэнси Браун, Гил Беллоуз, Марк Ролстон, Джеймс Уитмор, Джеффри ДеМанн, Ларри Бранденбург, Нил Джунтоли, Брайан Либби, Дэвид Провал, Джозеф Раньо, Джуд Чикколелла, Пол МакКрейн, Рени Блейн, Скотт Манн, Джон Хортон, Гордон Грин, Альфонсо Фриман, В. Дж. Фостер, Джон Э. Саммерс, Фрэнк Медрано, Мак Майлз, Алан Р. Кесслер, Морган Ланд, Корнелл Уоллес, Гэри Ли Дэвис, Нил Саммерс, Нед Беллами, Джо Пекорато, Харольд Э. Коуп мл., Брайан Дилейт, Дон Макманус, Дональд Зинн, Дороти Сильвер, Роберт Хейли, Дэна Снайдер, Джон Д. Крэйг, Кен Маджи, Юджин С. ДеПаскуале, Билл Болендер, Рон Ньюэлл, Джон Р. Вудворд, Чак Браухлер, Дион Андерсон, Клер Слеммер, Джеймс Кисики, Рон Томас, Чарли Кернс, Роб Рейдер, Брайан Брофи, Пол Кеннеди, Джеймс Бэбсон, Дэннис Бэйкер, Фред Калбертсон, Ричард Дун, , , Рита Хэйворт, Дэвид Хехт, Алонсо Ф. Джонс, Гари Джонс, Сержиу Като, Майкл Лайтси, Джордж Макреди, Крис Пейдж, Нил Ридэуэй, Брэд Спенсер, Джодива Степп, "
3498,Властелин колец: Возвращение короля,8.7,2003,201,"США, Новая Зеландия","драма, приключения, фэнтези","Арагорн штурмует Мордор, а Фродо устал бороться с чарами кольца. Эффектный финал саги, собравший 11 «Оскаров» ",Питер Джексон,"Элайджа Вуд, Вигго Мортенсен, Шон Эстин, Иэн Маккеллен, Орландо Блум, Доминик Монахэн, Билли Бойд, Энди Серкис, Миранда Отто, Бернард Хилл, Карл Урбан, Дэвид Уэнэм, Хьюго Уивинг, Кейт Бланшетт, Лив Тайлер, Иэн Холм, Джон Ноубл, Джон Рис-Дэвис, Дэвид Эстон, Элистэр Браунинг, Мартон Чокаш, Брюс Хопкинс, Лоуренс Макор, Пол Норелл, Брюс Филлипс, Томас Робинс, Алан Ховард, Сала Бэйкер, Брэд Дуриф, Кристофер Ли, Брюс Спенс, Ноэль Эпплби, Александра Эстин, Джон Бах, Шон Бин, Сэдвин Брофи, Ричард Эдж, Джейсон Фитч, Йен Хьюз, Брэт МакКензи, Сара МакЛауд, Мэйси МакЛеод-Риера, Шэйн Ранги, Тодд Риппон, Гарри Синклер, Питер Тейт, Джоэль Тобек, Стефан Уре, Роберт Поллок, Росс Дункан, Пит Смит, Джед Брофи, Ли Хартли, Билли Джексон, Кэти Джексон, Филип Грив, , Джино Асеведо, Эйдан Белл, Джарл Бензон, Йорн Бензон, , , Эмма Дикин, Майкл Элсворт, , Зо Хартли, Питер Джексон, Сандро Копп, Эндрю Лесни, Джозеф Мика-Хант, Генри Мортенсен, Крэйг Паркер, Рик Поррас, Кристиан Риверс, , Говард Шор, Джон Стефенсон, Ричард Тейлор, Ройд Толкин"
448,Форрест Гамп,8.9,1994,142,США,"драма, мелодрама, комедия, военный, история",Полувековая история США глазами чудака из Алабамы. Абсолютная классика Роберта Земекиса с Томом Хэнксом,Роберт Земекис,"Том Хэнкс, Робин Райт, Салли Филд, Гэри Синиз, Майкелти Уильямсон, Майкл Коннер Хэмпфри, Ханна Р. Холл, Сэм Андерсон, Шиван Фэллон, Ребекка Уильямс, Харольд Дж. Хертэм, Джордж Келли, Боб Пенни, Джон Рэндолл, Марго Мурер, Иона М. Телек, Кристин Сибрук, Джон Уоршэм, Питер Добсон, Александр Земекис, Логан Ливингстон Гомес, Бен Ваддель, Элизабет Хэнкс, Тайлер Лонг, Кристофер Джонс, Грэйди Боуман, Кевин Мэнгэн, Фэй Гененс, Фрэнк Гейер, Роб Ландри, Джейсон МакГуайр, Пит Остер, Сонни Шроер, Бретт Райс, Эд Дэвис, Дэниэл С. Стрипик, Брюс Луквиа, Дэвид Брисбин, Кирк Уорд, Анджела Ломас, Тимоти Рекорд, Дебора МакТир, Марк Матисен, Аль Хэррингтон, Джед Гиллин, Боб Харкс, Дон Фишер, Кеннет Бевингтон, Майкл Флэннери, Гари Робинсон, Марлена Смоллз, Китти К. Грин, Афемо Омилами, Мэтт Уоллес, Данте МакКарти, Поли ДиКокко, Пол А. ДиКокко мл., Майк Джолли, Майкл Кеммерлинг, Джон Волдстад, Джеффри Виннер, Расс Уилсон, Дэниэл Дж. Гиллули, Кэлвин Гэдсден, Аарон Избики, Майкл Берджесс, Стивен Гриффит, Билл Роберсон, Майкл МакФол, Эрик Андервуд, Стив ДеРеллиан, Байрон Миннс, Стефен Бриджуотер, Бонни Энн Бёрджесс, Скотт Оливер, Джон Уильям Голт, Хилари Чеплейн, Изабель Роуз, Джей Росс, Ричард Д’Алессандро, Дик Стивелл, Кевин Дэвис, Майкл Джейс, Джеффри Блейк, Тим Перри, Ванесса Рот, Эмили Кэри, Пол Рачовски, , Дик Каветт, Джо Стефанелли, Тиффани Салерно, Марла Сухаретса, Алоизиус Гигл, Джек Боуден, Джо Аляски, Лазарус Джексон, В. Бенсон Терри, Мэтт Ребенкофф, Питер Бэннон, The Hallelujah Singers of Beaufort South Carolina, Джо Вашингтон, Нора Данфи, Натали Хендрикс, Халли Д’Амор, Чиффони Кобб, Хуан Синглтон, Бобби Ричардсон, Майкл Мэттисон, Ленни Херб, Чарльз Босуэлл, Тимоти МакНил, Хэйли Джоэл Осмент, Лонни Хэмилтон, Тереза Дентон, Джозеф Эбби, Роб Адамс, Маркус Александр, , Кери-Энн Билотта, Джим Боэк, Артур Бремер, Гранд Л. Буш, Клинт Кэлверт, Трой Кристиан, Дик Кларк, Джон Коннали, Даррен В. Конрад, Джим Дэмрон, Райан Дункан, Джеймс Энт, Джеральд Форд, Майкл Гарви, , Кристофер Джеймс Холл, Брайан Ханна, Эллсворт Ханна, Джинн Ханна, Зэк Ханнер, Джон Гленн Хардинг, Боб Хоуп, , Шенн Джонсон, Джим Келлер, Роберт Ф. Кеннеди, Аарон Майкл Лэйси, Тедди Лэйн мл., Джон Леннон, , Жаклин Ловелл, Ричард Никсон, Даррел Кук, Майкл Оливер, Шоун Майкл Перри, Элвис Пресли, Рональд Рейган, Марк А. Рич, Курт Рассел, Брендан Шэнэхэн, Уильям Шипман, Джон Сайммит, Робб Скайлер, , Мэри Эллен Трейнор, USC Trojan Marching Band, Джордж Уоллес, Эрик Алан Уенделл, Чжуан Цзэдун"
312,Властелин колец: Две крепости,8.6,2002,179,"США, Новая Зеландия","драма, приключения, фэнтези","Голлум ведет хоббитов в Мордор, а великие армии готовятся к битве. Вторая часть трилогии, два «Оскара»",Питер Джексон,"Элайджа Вуд, Иэн Маккеллен, Вигго Мортенсен, Лив Тайлер, Шон Эстин, Кейт Бланшетт, Джон Рис-Дэвис, Бернард Хилл, Кристофер Ли, Билли Бойд, Брюс Олпресс, Джон Бах, Сала Бэйкер, Орландо Блум, Джед Брофи, Сэм Комери, Брэд Дуриф, Кэлам Гиттинс, Брюс Хопкинс, Пэрис Хоу Стрю, Нэтаниэл Лис, Джон Ли, Робби Магасива, Робин Малкольм, Доминик Монахэн, Миранда Отто, Крэйг Паркер, Брюс Филлипс, Роберт Поллок, Энди Серкис, Оливия Теннет, Рэй Трикитт, Карл Урбан, Стефан Уре, Хьюго Уивинг, Дэвид Уэнэм, Виктория Бейнон-Коул, Ли Хартли, Филип Грив, Билли Джексон, Кэти Джексон, Шон Бин, Тимоти Ли, Джон Ноубл, Филлип Спенсер Харрис, Ричард С Александр, Джофф Аллен, Джофф Аллен, Фрейзер Андерсон, , Бен Баррингтон, Джарл Бензон, Йорн Бензон, Оуэн Блэк, Дороти Энн Боннер, Бен Бриттон, Райли Брофи, Элистэр Браунинг, Аликс Бушнелл, , Райан Кэри, , , Родни Кук, , , Оджи Дэвис, Мана Хира Дэвис, Шэйн Доусон, Карлос Дринкуотер, Арон Иствуд, Фрэнк Эдвардс, , Алексия Фэйрбразер, Дэниэл Фалконер, , Сиоса Фонуа, , , Бен Френшам, , Уинэм Хэммонд, , , Лукас Хейуорд, Дэн Хенна, , Пол Холмс, Джейсон Худ, , , Питер Джексон, Гарет Дженсен, Ральф Джонсон, , Сэм Келли, , Ричард Ноулз, Сандро Копп, Сэм Ла Худ, , Дон Лангридж, Джейм Лоуренс, Майкл Лоуренс, Алан Ли, , Лэнс Луиз, Джоно Мэнкс, Брент Макинтайр, Дра МакКэй, Джозеф Мика-Хант, Арнольд Монти, Дин Морганти, Генри Мортенсен, Френсис Маунтджой, Пол Норелл, Джеймс Ордиш, Барри М. Осборн, , , Аллан Попплтон, Гарет Ривз, Миранда Риверз, Кэмпбелл Русселье, , Мэттью Сэвилл, , , Сэм Шор, , Аллан Смит, Дайян Смит, , Сара Томас, Маркус Торн, , Грег Тозер, Джон Тернер, Пирипи Варентини, Тим Вонг, Ханна Вуд, Джон Рэйт, Келли Керр Янг, Роберт Янг"
328,Властелин колец: Братство Кольца,8.6,2001,178,"США, Новая Зеландия","драма, приключения, фэнтези",Фродо Бэггинс отправляется спасать Средиземье. Первая часть культовой фэнтези-трилогии Питера Джексона,Питер Джексон,"Элайджа Вуд, Иэн Маккеллен, Шон Эстин, Вигго Мортенсен, Билли Бойд, Доминик Монахэн, Джон Рис-Дэвис, Орландо Блум, Шон Бин, Иэн Холм, Лив Тайлер, Кейт Бланшетт, Кристофер Ли, Хьюго Уивинг, Сала Бэйкер, Энди Серкис, Дэвид Уитерлей, Лоуренс Макор, Мартон Чокаш, Крэйг Паркер, Марк Фергюсон, Питер МакКензи, Гарри Синклер, Питер Джексон, Алан Ховард, Ноэль Эпплби, Меган Эдвардс, Майкл Элсворт, Брент Макинтайр, Сара МакЛауд, Йен Мун, Камерон Родс, Мартин Сэндерсон, Брайан Серджент, Виктория Бейнон-Коул, Ли Хартли, Сэм Ла Худ, Крис Стритер, Джонатан Джордан, Семи Куреса, Уильям Джонсон, Клинтон Улиатт, Пол Брайсон, Элизабет Муди, Лэнс Фабиан Кемп, Джоно Мэнкс, Бен Прайс, Филип Грив, Билли Джексон, Кэти Джексон, Питер Корригэн, Лори Дунги, Норман Форси, Томас МакГинти, Кейт О’Рурк, Джино Асеведо, Бетти Адамс, , Мэтт Эпплтон, Родни Бэйн, Тимоти Бартлетт, Джарл Бензон, Йорн Бензон, , Боб Блэкуэлл, Бен Бриттон, Джед Брофи, Райли Брофи, Райан Кэри, Норман Кэйтс, Рэйчел Клентворт, Рэндолл Уильям Кук, Сабина Кроссен, , Питер Даубе, Мана Хира Дэвис, Шэйн Доусон, , Сиоса Фонуа, , , Бен Френшам, Фиби Гиттинс, , Уинэм Хэммонд, , Зо Хартли, Теа Хартвелл, Рэй Хенвуд, , , Гарет Дженсен, Ральф Джонсон, , Тим Кано, Сэм Келли, Джефф Кингсфорд-Браун, , Алан Ли, , Питер Лион, Марта Марти, , , Брэт МакКензи, Тим МакЛахлан, Нэйтан Майстер, Лиз Мертон, Арнольд Монти, Джеймс Моркан, Дин Морганти, , , Эндрю Манро, Дэвид Дж. Мьюццеролл, , Кристи Куиллам, Шэйн Ранги, Крис Рейд, Стив Рейнсфилд, Ларри Рю, Грант Роа, Томас Робинс, Винсент Роксбур, Крис Райан, , Сэм Шор, , Эндрю Стелин, , , Джон Тернер, , Джош Виддикомб, Тим Вонг, Роберт Янг"
535341,1+1,8.8,2011,112,Франция,"драма, биография, комедия",Аристократ на коляске нанимает в сиделки бывшего заключенного. Искрометная французская комедия с Омаром Си,Эрик Толедано,"Франсуа Клюзе, Омар Си, Анн Ле Ни, Одри Флеро, Жозефин де Мо, Клотильд Молле, Альба Гайя Крагеде Беллуджи, Сирил Менди, Салимата Камате, Абса Дьяту Тур, Грегуар Эстерманн, Доминик Дагьер, Франсуа Карон, Кристиан Амери, Тома Соливерес, Дороти Бриер, Мари-Лор Дикуру, Эмили Кан, Сильвен Лазард, Жан Франсуа Кэйри, Йен Фенелон, Рено Барсе, Франсуа Бюрелу, Никки Марбо, Бенжамин Барош, Жером Повель, Антуан Лоран, Фабрис Мантенья, Хеди Бушенафа, Каролин Бург, Мишель Виноградов, Кевин Вамо, Эллиот Латиль, Ален Антони, Доминик Анри, Ле Капариксьо Франсе, Филипп Ле Февр, Хэ Юньпин, Пьер-Лоран Барнерон, Филипп Поццо ди Борго, Абдель Селлу"
342,Криминальное чтиво,8.6,1994,154,США,"драма, криминал","Несколько связанных историй из жизни бандитов. Шедевр Квентина Тарантино, который изменил мировое кино",Квентин Тарантино,"Джон Траволта, Сэмюэл Л. Джексон, Брюс Уиллис, Ума Турман, Винг Реймз, Тим Рот, Харви Кейтель, Квентин Тарантино, Питер Грин, Аманда Пламмер, Мария де Медейруш, Лаура Лавлэйс, Фил ЛаМарр, Фрэнк Уэйли, Бёрр Стирс, Пол Кальдерон, Брона Галлахер, Розанна Аркетт, Эрик Столц, Джером Патрик Хобан, Майкл Гилден, Гари Шорелл, Сьюзан Гриффитс, Эрик Кларк, Джозеф Пилато, Брэд Паркер, Стив Бушеми, Лорелей Лесли, Эмиль Ситка, Бренда Хиллхаус, Кристофер Уокен, Чандлер Линдауэр, Боб Рут, Сай Шер, Роберт Рут, Рич Тернер, Анджела Джонс, Дон Блэйкли, Карл Аллен, Карен Маруяма, Кэти Гриффин, Венесса Валентино, Линда Кэй, Дуан Уайтакер, Стефен Хибберт, Алексис Аркетт, Джулия Суини, Лоуренс Бендер, Сай Оллман, Рене Бирд, , Пуи Фэн Ли, , Филип Проктор, Лори Пиццо, Глендон Рич, Деван Ричардсон, Ричард Росси, Джимми Стар, Ани Сава"
42664,Иван Васильевич меняет профессию,8.8,1973,88,СССР,"фантастика, приключения, комедия","Иван Грозный отвечает на телефон, пока его тезка-пенсионер сидит на троне. Советский хит о липовом государе",Леонид Гайдай,"Александр Демьяненко, Юрий Яковлев, Леонид Куравлёв, Наталья Крачковская, Савелий Крамаров, Наталья Селезнёва, Владимир Этуш, Михаил Пуговкин, Сергей Филиппов, Наталья Кустинская, Эдуард Бредун, Валентин Грачёв, Наталья Гурзо, Иван Жеваго, Юрий Чернов, Лариса Еремина, Анатолий Калабулин, Нина Маслова, Виктор Уральский, Константин Мазанов, Николай Маликов, Юрий Потемкин, Андрей Рабинович, Михаил Содорский, Александр Вигдоров, Анатолий Подшивалов, Виктор Шульгин, Елена Вольская, Леонид Гайдай, Владимир Мышкин, Александр Петров, Виталий Киселёв"
679486,Тайна Коко,8.7,2017,105,США,"приключения, фэнтези, комедия, музыка, мультфильм, семейный","Юный музыкант Мигель попадает в мир мертвых. Трогательная история о любви без границ, получившая два «Оскара»",Эдриан Молина,"Энтони Гонсалес, Гаэль Гарсиа Берналь, Бенджамин Брэтт, Аланна Юбак, Рене Виктор, Хайме Камиль, Альфонсо Арау, Херберт Сигенса, Габриэль Иглесиас, Ломбардо Бойяр, Ана Офелиа Мургия, Наталия Кордова-Бакли, Селене Луна, Эдвард Джеймс Олмос, София Эспиноса, Карла Медина, Дайана Ортелли, Луис Вальдес, Бланка Арасели, Сальвадор Рейс, Чич Марин, Октавио Солис, Джон Ратценбергер, Джек Эйнджел"
258687,Интерстеллар,8.6,2014,169,"США, Великобритания, Канада","драма, фантастика, приключения","Фантастический эпос про задыхающуюся Землю, космические полеты и парадоксы времени. «Оскар» за спецэффекты",Кристофер Нолан,"Мэттью МакКонахи, Энн Хэтэуэй, Джессика Честейн, Маккензи Фой, Майкл Кейн, Дэвид Гяси, Уэс Бентли, Кейси Аффлек, Джон Литгоу, Мэтт Дэймон, Тофер Грейс, Эллен Бёрстин, Элиес Габел, Тимоти Шаламе, Дэвид Ойелоуо, Коллетт Вульф, Фрэнсис З. МакКарти, Билл Ирвин, Эндрю Борба, Уильям Дивэйн, Джош Стюарт, Леа Кейрнс, Лиам Дикинсон, Флора Нолан, Гриффен Фрейзер, Джефф Хефнер, Лена Георгас, Брук Смит, Расс Фега, Уильям Патрик Браун, Кики Леа Кэмпбелл, Марк Казимир Дайневиц, , Бенжамин Харди, Александр Майкл Хелисек, Райан Ирвинг, , Дерек Макинтайр, Джозеф Оливейра, , Марлон Сандерс, Брайан Стэмп, Кристиан Ван дер Хейден, Кеван Вебер"
2360,Король Лев,8.8,1994,88,США,"драма, приключения, мультфильм, семейный, мюзикл","Львенок Симба бросает вызов дяде-убийце. Величественный саундтрек, рисованная анимация и шекспировский размах",Роб Минкофф,"Мэттью Бродерик, Джереми Айронс, Нэйтан Лейн, Эрни Сабелла, Джеймс Эрл Джонс, Мойра Келли, Роуэн Эткинсон, Вупи Голдберг, Чич Марин, Никета Калам, Джим Каммингс, Роберт Гийом, Зои Лидер, Мэдж Синклер, Джонатан Тейлор Томас, Фрэнк Уэлкер, Кэти Кавадини, Джуди М. Дюран, Даамен Дж. Кралл, Дэвид МакЧарен, Мэри Линда Филлипс, Филип Проктор, Дэвид Рэндольф, Джек Эйнджел, Джефф Беннетт, Сэлли Дворски, Боб Берген, Пэт Фрай, Шенка Булич, , Ивэн Сауседо, Роджер Бампасс, Кэт Суси, Пол Айдинг, Брайан Точи, Джейсон Уивер, Билл Фармер, Эдди Корбич, Джозеф Уильямс, Микки Макгоун, Лаура Уильямс, Жан Рэбсон"
476,Назад в будущее,8.6,1985,116,США,"фантастика, приключения, комедия","Безумный ученый и 17-летний оболтус тестируют машину времени и наводят шороху в 1950-х. Классика кинофантастики
",Роберт Земекис,"Майкл Дж. Фокс, Кристофер Ллойд, Лиа Томпсон, Криспин Гловер, Томас Ф. Уилсон, Клаудия Уэллс, Марк МакКлюр, Уэнди Джо Спербер, Джордж ДиЧенцо, Фрэнсис Ли МакКейн, Джеймс Толкан, Дж.Дж. Коэн, Кейси Семашко, Билли Зейн, Гарри Уотерс мл., Дональд Фуллилав, Лиза Фриман, Кристен Кауффман, Эльза Рэйвен, Уилл Хэр, Айви Бетьюн, Джейсон Марин, Кэтрин Бриттон, Джейсон Херви, Майа Брутон, Кортни Гейнс, Ричард Л. Дюран, Джефф О’Хако, Джон Грин мл., Джэми Эбботт, Норман Элден, Рид Морган, Сачи Паркер, Роберт Крантц, Гари Райли, Карен Петрасек, Джордж «Бак» Флауэр, Томми Томас, Гранивиль’Дэнни’  Янг, Дэвид Харольд Браун, Ллойд Л. Толберт, Пол Хэнсон, Ли Браунфилд, Роберт ДеЛапп, , Чарльз Л. Кэмпбелл, Кики Эбсен, , Хэл Гаусман, Дебора Хэрмон, Джанин Кинг, Хьюи Льюис, Джон МакКук, Ричард Патрик, Тони Поуп, Эрик Столц, Этель Суэй, Том Танген, Артур Тови, Том Виллетт"
